ResourceType,Count,Percentage
microsoft.resources/deployments,329568,10.10071352
microsoft.apimanagement/service/apis/operations,107521,3.295340624
microsoft.storage/storageaccounts,107175,3.284736297
microsoft.web/sites,94564,2.898230027
microsoft.network/networkinterfaces,86665,2.656138756
microsoft.datafactory/factories/datasets,86242,2.643174506
microsoft.keyvault/vaults/secrets,76271,2.337579866
microsoft.compute/virtualmachines,75529,2.314838794
microsoft.network/networksecuritygroups,70712,2.16720572
microsoft.network/publicipaddresses,67378,2.06502414
microsoft.compute/virtualmachines/extensions,62504,1.91564411
config,58536,1.79403148
microsoft.web/serverfarms,54758,1.678242035
microsoft.network/virtualnetworks,52568,1.611122162
microsoft.apimanagement/service/apis/operations/policies,48067,1.473173964
microsoft.network/networksecuritygroups/securityrules,46806,1.434526402
microsoft.datafactory/factories/pipelines,44606,1.367100044
microsoft.operationalinsights/workspaces/savedsearches,44152,1.353185696
microsoft.storage/storageaccounts/blobservices/containers,43339,1.328268592
microsoft.insights/components,40292,1.234883087
microsoft.automation/automationaccounts/jobs,38117,1.168222939
microsoft.web/sites/config,33658,1.031561971
datasources,32070,0.982892401
microsoft.network/routetables/routes,29473,0.903298651
microsoft.keyvault/vaults,26389,0.808779157
extensions,26165,0.801913928
microsoft.logic/workflows,24955,0.764829431
microsoft.datafactory/factories/linkedservices,24843,0.761396817
microsoft.sql/servers/databases/advisors,24365,0.746746908
microsoft.web/sites/hostnamebindings,23576,0.722565364
microsoft.network/virtualnetworks/subnets,23314,0.714535498
microsoft.insights/metricalerts,22722,0.696391678
microsoft.dbforpostgresql/servers/configurations,22340,0.684684011
microsoft.sql/servers/firewallrules,22328,0.684316231
microsoft.compute/availabilitysets,22312,0.683825857
microsoft.sql/servers,21959,0.673006992
firewallrules,21506,0.659123292
microsoft.apimanagement/service/properties,20188,0.618728774
microsoft.sql/servers/databases,20147,0.617472192
microsoft.network/loadbalancers,19674,0.602975525
microsoft.apimanagement/service/apis/schemas,18856,0.57790518
microsoft.apimanagement/service/apis/operations/tags,18641,0.571315786
providers/diagnosticsettings,18627,0.570886709
microsoft.storage/storageaccounts/blobservices,18609,0.570335039
microsoft.web/connections,18537,0.568128358
microsoft.web/sites/deployments,18380,0.563316568
microsoft.insights/scheduledqueryrules,17954,0.550260373
microsoft.apimanagement/service/apis,17903,0.548697307
microsoft.apimanagement/service/groups/users,17183,0.5266305
microsoft.network/dnszones/a,17037,0.522155841
databases,16446,0.50404267
microsoft.apimanagement/service/products/apis,16175,0.495736969
microsoft.dbformysql/servers/configurations,15621,0.478757786
microsoft.servicebus/namespaces/topics/subscriptions,15410,0.472290985
microsoft.resources/resourcegroups,15004,0.459847757
secrets,14343,0.439589202
microsoft.compute/virtualmachinescalesets,12582,0.385617468
microsoft.network/routetables,12233,0.374921195
tags,12053,0.369404493
microsoft.automation/automationaccounts/modules,11549,0.353957728
microsoft.servicebus/namespaces/topics/subscriptions/rules,11529,0.353344761
blobservices/containers,11418,0.349942795
microsoft.apimanagement/service/templates,11366,0.348349081
microsoft.network/applicationgateways,10761,0.329806833
microsoft.apimanagement/service/subscriptions,10651,0.326435515
microsoft.sql/servers/advisors,9370,0.287174986
microsoft.web/sites/slots,9359,0.286837854
microsoft.apimanagement/service/apis/policies,9238,0.283129404
microsoft.servicebus/namespaces/topics,9237,0.283098756
transparentdataencryption,9096,0.278777339
microsoft.web/certificates,9001,0.275865747
microsoft.documentdb/databaseaccounts,8979,0.275191483
microsoft.datafactory/factories/triggers,8841,0.270962012
microsoft.sql/servers/databases/transparentdataencryption,8798,0.269644133
microsoft.sql/servers/databases/vulnerabilityassessments,8598,0.263514464
microsoft.servicebus/namespaces,8596,0.263453167
subscriptions,8523,0.261215838
microsoft.operationalinsights/workspaces,8448,0.258917212
microsoft.compute/disks,8219,0.251898742
microsoft.network/virtualnetworks/virtualnetworkpeerings,8185,0.250856698
microsoft.authorization/policydefinitions,8006,0.245370644
microsoft.servicebus/namespaces/queues,7871,0.241233118
microsoft.sql/servers/databases/securityalertpolicies,7618,0.233479087
microsoft.insights/actiongroups,7575,0.232161208
microsoft.sql/servers/databases/geobackuppolicies,7500,0.229862582
microsoft.sql/servers/databases/extendedauditingsettings,7378,0.226123484
microsoft.sql/servers/databases/auditingsettings,7248,0.222139199
microsoft.insights/autoscalesettings,7197,0.220576134
microsoft.eventhub/namespaces/eventhubs,7023,0.215243322
microsoft.eventhub/namespaces/eventhubs/consumergroups,7003,0.214630355
microsoft.sql/servers/databases/auditingpolicies,7001,0.214569058
microsoft.apimanagement/service/products,6912,0.211841356
authorizationrules,6861,0.21027829
microsoft.web/sites/functions,6735,0.206416599
microsoft.web/sites/extensions,6639,0.203474358
slots,6447,0.197589876
microsoft.operationsmanagement/solutions,6202,0.190081031
queues,6172,0.189161581
microsoft.documentdb/databaseaccounts/sqldatabases/containers,6118,0.18750657
microsoft.network/applicationsecuritygroups,6063,0.185820911
operations,6058,0.18566767
microsoft.containerservice/managedclusters,5819,0.178342715
microsoft.apimanagement/service/users,5778,0.177086133
microsoft.apimanagement/service/tags,5735,0.175768254
microsoft.sql/servers/databases/backupshorttermretentionpolicies,5716,0.175185936
microsoft.apimanagement/service/apis/diagnostics,5639,0.172826013
microsoft.apimanagement/service,5629,0.17251953
microsoft.apimanagement/service/products/groups,5582,0.171079058
microsoft.authorization/roleassignments,5340,0.163662158
siteextensions,5268,0.161455478
microsoft.insights/webtests,5116,0.156796929
microsoft.servicebus/namespaces/authorizationrules,5114,0.156735633
microsoft.keyvault/vaults/accesspolicies,5060,0.155080622
microsoft.cache/redis,5060,0.155080622
microsoft.apimanagement/service/backends,4942,0.151464117
microsoft.network/virtualnetworkgateways,4796,0.146989459
microsoft.eventhub/namespaces,4725,0.144813427
consumergroups,4602,0.14104368
microsoft.datafactory/factories,4570,0.140062933
topics,4541,0.139174131
microsoft.automation/automationaccounts,4464,0.136814209
microsoft.servicefabric/clusters,4413,0.135251143
subnets,4271,0.130899078
policies,4253,0.130347408
microsoft.operationalinsights/workspaces/datasources,4172,0.127864892
microsoft.apimanagement/service/notifications,4137,0.1267922
microsoft.network/trafficmanagerprofiles,4089,0.12532108
microsoft.managedidentity/userassignedidentities,4039,0.123788663
microsoft.apimanagement/service/apiversionsets,4010,0.122899861
microsoft.eventhub/namespaces/eventhubs/authorizationrules,3900,0.119528543
microsoft.network/dnszones/cname,3840,0.117689642
microsoft.automation/automationaccounts/variables,3786,0.116034631
providers/locks,3779,0.115820093
microsoft.containerregistry/registries,3651,0.111897105
securityalertpolicies,3536,0.108372545
microsoft.sql/servers/virtualnetworkrules,3520,0.107882172
microsoft.sql/servers/securityalertpolicies,3507,0.107483743
microsoft.datafactory/factories/dataflows,3418,0.104756041
proactivedetectionconfigs,3402,0.104265667
microsoft.devtestlab/schedules,3361,0.103009085
hostnamebindings,3298,0.101078239
auditingsettings,3202,0.098135998
microsoft.alertsmanagement/smartdetectoralertrules,3141,0.096266449
microsoft.recoveryservices/vaults,3112,0.095377647
microsoft.eventhub/namespaces/authorizationrules,3075,0.094243659
eventhubs,3069,0.094059769
microsoft.web/serverfarms/firstpartyapps/settings,3060,0.093783933
microsoft.insights/alertrules,3054,0.093600043
rules,3021,0.092588648
microsoft.documentdb/databaseaccounts/apis/databases/containers,3014,0.09237411
microsoft.datafactory/factories/integrationruntimes,2941,0.09013678
microsoft.apimanagement/service/groups,2924,0.089615759
microsoft.sql/servers/vulnerabilityassessments,2897,0.088788253
microsoft.servicebus/namespaces/topics/authorizationrules,2892,0.088635012
administrators,2884,0.088389825
microsoft.recoveryservices/vaults/backuppolicies,2882,0.088328528
microsoft.network/connections,2882,0.088328528
microsoft.sql/servers/auditingsettings,2824,0.086550924
microsoft.keyvault/vaults/providers/diagnosticsettings,2798,0.085754067
apis,2728,0.083608683
microsoft.web/sites/slots/config,2658,0.081463299
containers,2630,0.080605145
microsoft.documentdb/databaseaccounts/sqldatabases/containers/throughputsettings,2614,0.080114772
microsoft.databricks/workspaces,2575,0.078919486
microsoft.storage/storageaccounts/fileservices/shares,2569,0.078735596
microsoft.web/sites/slots/deployments,2566,0.078643651
microsoft.sql/servers/encryptionprotector,2537,0.077754849
microsoft.sql/servers/administrators,2515,0.077080586
microsoft.apimanagement/service/api-version-sets,2490,0.076314377
microsoft.containerinstance/containergroups,2479,0.075977245
